filename,istrue,trust,x1,y1,x2,y2,category
w20190719093725711_31_epoch0_aug0x1,1,0.92113936,206,459,309,552,bird
w20190719093725711_31_epoch0_aug0x1,1,0.81627154,278,496,360,602,bird
w20190719093725711_31_epoch0_aug0x1,1,0.7206615,463,639,538,792,bird
w20190719093725711_31_epoch0_aug0x1,1,0.70882463,457,257,557,375,bird
w20190719093725711_31_epoch0_aug0x1,1,0.6447727,379,554,461,676,bird
w20190805083851060_115_epoch0_aug2x0,1,0.9999404000000001,1083,837,1126,867,bird
w20190805083851060_115_epoch0_aug2x0,1,0.9997545,748,840,781,864,bird
w20190805083851060_115_epoch0_aug2x0,1,0.9995919,1653,832,1689,865,bird
w20190805083851060_115_epoch0_aug2x0,0,0.99936885,1434,849,1467,871,bird
w20190805083851060_115_epoch0_aug2x0,1,0.9985305,1546,844,1579,871,bird
w20190805083851060_115_epoch0_aug2x0,1,0.9972366,314,705,438,808,bird
w20190805083851060_115_epoch0_aug2x0,1,0.9808450999999999,429,775,483,824,bird
w20190805083851060_115_epoch0_aug2x0,1,0.9782428,563,804,584,825,bird
w20190805083851060_115_epoch0_aug2x0,1,0.95952445,570,656,628,687,bird
w20190805083851060_115_epoch0_aug2x0,1,0.6940324999999999,1270,734,1299,761,bird
w20190805083851060_115_epoch0_aug2x0,0,0.6788266,288,813,319,832,bird
w20190805083851060_115_epoch0_aug2x0,1,0.51944387,1222,724,1247,747,bird
w20190805084107410_36_epoch0_aug0x1,0,0.99857605,727,853,740,866,bird
w20190805084107410_36_epoch0_aug0x1,1,0.90422475,700,854,715,869,bird
w20190618063144857_397_epoch0_aug0x0,1,0.9999943000000001,128,71,299,323,bird
w20190618063144857_263_epoch0_aug0x1,1,0.9995222,226,98,378,314,bird
w20190618063144857_108_epoch0_aug0x0,1,0.9999677,96,81,344,298,bird
w20190618063144857_464_epoch0_aug0x1,1,0.99999726,139,155,349,346,bird
w20190705043819167_1_epoch0_aug0x1,1,0.5195406,911,377,1087,587,bird
w20190705043819167_170_epoch0_aug0x1,1,0.94883525,977,621,1142,795,bird
w20190618063144857_351_epoch0_aug0x1,1,0.9999963,85,49,461,299,bird
w20190719093725711_14_epoch0_aug0x0,1,0.9996414,944,706,1058,812,bird
w20190719093725711_14_epoch0_aug0x0,1,0.99946016,1401,172,1500,301,bird
w20190719093725711_14_epoch0_aug0x0,1,0.9993788,933,1048,1047,1150,bird
w20190719093725711_14_epoch0_aug0x0,1,0.9986130999999999,835,713,926,799,bird
w20190719093725711_14_epoch0_aug0x0,1,0.9953849,1342,660,1408,735,bird
w20190719093725711_14_epoch0_aug0x0,1,0.9930519,1214,499,1301,600,bird
w20190719093725711_14_epoch0_aug0x0,1,0.96841574,1239,734,1321,827,bird
w20190719093725711_14_epoch0_aug0x0,1,0.9381503000000001,1350,328,1423,413,bird
w20190719093725711_14_epoch0_aug0x0,1,0.74975926,143,647,304,731,bird
w20190805084121403_125_epoch0_aug2x2,1,0.78569865,542,27,571,41,bird
w20190805084121403_84_epoch0_aug3x5,1,0.8887591999999999,80,0,206,118,bird
